quantity,Ca,outcome,Re,We,Oh,fluid,rn,ut,u
0,0.0245874280930939,v,5444.03050721916,133.854708632861,0.00212518272154907,water,1.326507239,0,1.914118058
0,0.0246649803691989,v,5450.52221134303,134.437023344658,0.00212726370444103,water,1.323913213,0,1.920155461
0,0.0258643038348066,v,5753.15278138425,148.801291545785,0.00212030063311651,water,1.332622958,0,2.013522148
0,0.0271976678150552,v,6054.92889516707,164.679944734533,0.00211939208854771,water,1.333765745,0,2.117323817
0,0.0283430249349447,v,6282.3081142019,178.05961552983,0.00212404387383718,water,1.327930086,0,2.206489253
0,0.0284360337725138,v,6307.77083096752,179.36798437867,0.00212322763151022,water,1.328951287,0,2.213729941
0,0.0286010792540055,v,6356.80975670601,181.811619654184,0.00212115108546252,water,1.331554571,0,2.226578643
0,0.0287241951845304,v,6396.49263870155,183.734103050475,0.00211910746980519,water,1.334124047,0,2.236163152
0,0.0290142894294199,v,6485.82154888886,188.18150360703,0.00211506379819166,water,1.339230197,0,2.258746833
0,0.033678314934116,v,7430.26190042775,250.238700325569,0.0021289875214309,water,1.321770166,0,2.621838711
0,0.0337133612133978,v,7412.45814240381,249.898878834051,0.00213265153632977,water,1.317232317,0,2.624567045
0,0.0343685657125691,v,7621.84768890819,261.951973147434,0.0021234917167616,water,1.328620761,0,2.675574363
0,0.0649312641704225,v,3639.05952110911,236.288735097027,0.00422408209069638,gw21vol,1.346692652,0,2.426378819
0,0.0651879064028169,v,3658.45214726985,238.486836155411,0.00422118928681879,gw21vol,1.348539076,0,2.435969134
0,0.0654044881788732,v,3678.89671703634,240.616356840699,0.00421643080897171,gw21vol,1.351584597,0,2.444062453
0,0.0707842025295775,v,3297.86692078451,233.436880036405,0.00463288594386505,gw21vol,1.119515144,0,2.645093884
0,0.072007282571831,v,5114.69651636507,368.295397323059,0.00375213344767411,gw21vol,1.706776434,0,2.690798454
0,0.0720799188492958,v,3381.55505989036,243.742214301323,0.00461688346798648,gw21vol,1.127289246,0,2.693512757
0,0.0720983145422535,v,5132.4463964829,370.040734664879,0.00374800658276841,gw21vol,1.710537107,0,2.694200175
0,0.0732516956193103,v,3796.5558260363,278.104151770531,0.00439252200579616,so1cSt,1.215298671,0,1.561984686
0,0.0732516956193103,v,3796.5558260363,278.104151770531,0.00439252200579616,so1cSt,1.215298671,0,1.561984686
0,0.0732516956193103,v,3796.5558260363,278.104151770531,0.00439252200579616,so1cSt,1.215298671,0,1.561984686
0,0.0732742699816901,v,5712.44071831161,418.574923447965,0.00358149951838595,gw21vol,1.873283016,0,2.738143773
0,0.0733026923760563,v,5716.48112653317,419.033457491793,0.00358092789493316,gw21vol,1.873881128,0,2.739205873
0,0.0733723340929577,v,5699.77760286914,418.205986533273,0.00358787424176699,gw21vol,1.866632252,0,2.741808274
0,0.10471741715505,v,1978.48567457198,207.181909719444,0.00727516765292585,gw32vol,1.110563248,0,2.453878142
0,0.105438863556188,v,1996.90971881921,210.551891376604,0.00726643081383996,gw32vol,1.113235439,0,2.470784036
0,0.105475486301565,v,2501.07956152324,263.802583030568,0.0064939959670665,gw32vol,1.393815468,0,2.471642229
0,0.114512072176387,v,2709.96843789514,310.324101355979,0.00650045147057047,gw32vol,1.391048487,0,2.683399558
0,0.115486723997155,v,2746.21128347754,317.150944532843,0.00648483689591457,gw32vol,1.39775545,0,2.706238899
0,0.115519008093883,v,2738.42621465762,316.340280055536,0.00649495585768216,gw32vol,1.393403514,0,2.706995423
0,0.116350068605974,v,2764.50853882026,321.650758153539,0.00648745493436558,gw32vol,1.396627538,0,2.726469941
0,0.13248538485064,v,3145.71963802168,416.761876875518,0.00648969040582379,gw32vol,1.395665525,0,3.104574185
0,0.149911039520856,o,1983.42406324674,297.337163131998,0.00869378746537311,so2cSt,1.231089434,0,1.611112896
0,0.15021138268877,v,2005.22499292395,301.207618789185,0.00865505570533606,so2cSt,1.242132448,0,1.614340722
0,0.210830566226087,o,1944.88187134387,410.04054617828,0.0104116646987308,gw49mass,1.737301639,0,2.693946124
0,0.225516465606725,o,1103.82160201335,248.929946346404,0.0142935361277389,gw53mass,1.333055386,0,2.373127115
0,0.297549494513274,o,942.621596780514,280.476579639337,0.0177668696260753,gw57mass,1.305849018,0,2.521731966
0,0.298106042359882,o,950.007028108706,283.202835363559,0.0177142178098767,gw57mass,1.313623282,0,2.526448709
0,0.298590762241888,o,946.67913387808,282.669644183146,0.0177597472733702,gw57mass,1.306896621,0,2.53055671
0,0.311069632094395,o,992.49214180225,308.734165407004,0.0177037500483877,gw57mass,1.315177163,0,2.636315132
0.129719297849877,0.106773873157895,v,2537.46130528344,270.9345715534,0.00648683399876044,gw32vol,1.396894928,0.042102535,2.502067761
0.135057329234419,0.168339203152862,o,2189.72919032997,368.61726702071,0.0087679371819082,so2cSt,0.242071007727853,0.033,1.80916270055088
0.135374328782924,0.167551742597204,o,2170.54471306052,363.67854905844,0.00878597789263806,so2cSt,0.24107791408528,0.033,1.80069976239524
0.135413886316457,0.167453865403511,o,2174.68311783611,364.159094109416,0.00877504994401573,so2cSt,0.241678737441539,0.033,1.79964786381935
0.135619433415108,0.166946658260406,o,2173.83787859988,362.91496943214,0.00876345355208457,so2cSt,0.242318771793194,0.033,1.79419684452275
0.135668466295305,0.166826005370899,o,2164.82530710743,361.149158310562,0.00877850270455256,so2cSt,0.241488660675456,0.033,1.79290017266426
0.135804138249681,0.166492844619082,o,2163.35036786116,360.182356652942,0.00877272177188823,so2cSt,0.24180703157368,0.033,1.78931965194071
